date,exchange_rate
2011-01-01,42
2125*10-29,47115.93
2125-10#29,47115.93
2125810-29,47115.93
2011-01-01,42
2125-10-29,47115.93
1999-10-29,47115.93
20q5-10-29,47115.93
2025-20-29,47115.93
2025-1e-29,47115.93
2025-08-49,47115.93
2025-08-r9,47115.93
2025-08-2q,47115.93
2025-08-29,47115.93
2025-10-29,47115.93
2024-02-29,47115.93
2016-02-30,47115.93
2022-02-30,47115.93
2018-02-30,47115.93
2024-02-30,47115.93
2024-02-31,47115.93
2024-01-31,47115.93
2024-02-31,47115.93
2024-03-31,47115.93
2024-04-31,47115.93
2024-05-31,47115.93
2024-06-31,47115.93
2024-07-31,47115.93
2024-08-31,47115.93
2024-09-31,47115.93
2024-10-31,47115.93
2024-11-31,47115.93
2024-12-31,47115.93
2024-12-00,47115.93
2024-00-01,47115.93
